primary_country,name,category,tags,is_international,langlinks,justification,status,person_id,validation
FR,Gérard Depardieu,culture,FR,NO,82,82 Wikipedia langs | Primarily FR,new,,
FR,Jean Dujardin,culture,FR,NO,63,63 Wikipedia langs | Primarily FR,new,,
FR,Jean-Luc Mélenchon,politics,FR,NO,57,57 Wikipedia langs | Primarily FR,new,,
FR,Kylian Mbappé,sport,"FR, international",YES,111,111 Wikipedia langs | Global recognition confirmed,existing,69bd7fee6b16a3aa0301ebbb,
FR,Léa Seydoux,culture,FR,NO,55,55 Wikipedia langs | Primarily FR,new,,
FR,Marine Le Pen,politics,FR,NO,93,93 Wikipedia langs | Primarily FR,new,,
FR,Marion Cotillard,culture,FR,NO,78,78 Wikipedia langs | Primarily FR,new,,
FR,N'Golo Kanté,sport,FR,NO,69,69 Wikipedia langs | Primarily FR,new,,
FR,Omar Sy,culture,FR,NO,48,48 Wikipedia langs | Primarily FR,new,,
FR,Squeezie,culture,FR,NO,9,9 Wikipedia langs | Primarily FR,new,,
FR,Stromae,culture,FR,NO,64,64 Wikipedia langs | Primarily FR,new,,
FR,Teddy Riner,sport,FR,NO,37,37 Wikipedia langs | Primarily FR,new,,
FR,Thomas Pesquet,culture,FR,NO,33,33 Wikipedia langs | Primarily FR,new,,
FR,Xavier Niel,business,FR,NO,10,10 Wikipedia langs | Primarily FR,new,,
FR,Zinédine Zidane,sport,"FR, international",YES,120,120 Wikipedia langs | Global recognition confirmed,new,,
FR,Édouard Philippe,politics,FR,NO,61,61 Wikipedia langs | Primarily FR,new,,
GB,Ada Lovelace,culture,GB,NO,112,112 Wikipedia langs | Primarily GB,existing,69136cc19a7ab512fd98e83b,
GB,Adele,culture,"GB, international",YES,115,115 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845ee,
GB,Boris Johnson,politics,"GB, international",YES,126,126 Wikipedia langs | Global recognition confirmed,new,,
GB,Daniel Craig,culture,GB,NO,94,94 Wikipedia langs | Primarily GB,new,,
GB,David Attenborough,culture,GB,NO,78,78 Wikipedia langs | Primarily GB,new,,
GB,David Beckham,sport,GB,NO,114,114 Wikipedia langs | Primarily GB,new,,
GB,Dua Lipa,culture,"GB, international",YES,99,99 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845e9,
GB,Ed Sheeran,culture,"GB, international",YES,87,87 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845e5,
GB,Emma Raducanu,sport,GB,NO,49,49 Wikipedia langs | Primarily GB,new,,
GB,Emma Watson,culture,"GB, international",YES,120,120 Wikipedia langs | Global recognition confirmed,new,,
GB,Florence Pugh,culture,GB,NO,58,58 Wikipedia langs | Primarily GB,new,,
GB,Gordon Ramsay,culture,GB,NO,54,54 Wikipedia langs | Primarily GB,new,,
GB,Harry Kane,sport,GB,NO,86,86 Wikipedia langs | Primarily GB,new,,
